date,maxtp(Maximum Air Temperature - degrees C),mintp(Minimum Air Temperature - degrees C),gmin(Grass Minimum Temperature - degrees C),rain(Precipitation Amount - mm),cbl (Mean CBL Pressure-hpa),wdsp(Mean Wind Speed - knot),pe(Potential Evapotranspiration - mm),evap(Evaporation -mm)
01/01/1942,9.7,6.8,4.7,0,1020.3,17.2,1.1,1.4
02/01/1942,9.9,7.9,6.7,0.1,1016.2,15.2,0.7,0.9
03/01/1942,11.2,8.9,7.2,1.5,1006.8,14,0.5,0.6
04/01/1942,9.2,2.7,3.4,3.5,1001.5,17,0.6,0.7
05/01/1942,3.5,-0.8,0,0.6,1013.4,13,0.6,0.7
06/01/1942,5.1,0.7,-3.7,0,1021.1,9.7,0.4,0.5
07/01/1942,7.1,0.5,-1,0,1021.7,10.3,0.2,0.2
08/01/1942,7.1,1.4,0.2,0,1016.8,9.3,0.2,0.2
09/01/1942,4.5,0.7,0.9,0.2,1012,11.8,0.5,0.7
10/01/1942,5.3,-2.8,-4.1,0,1015.9,4,0,0.1
11/01/1942,4,-2.6,-9.5,1.1,1014.6,2.8,0.2,0.3
12/01/1942,5.1,0.1,-1.1,2.5,999.5,8.6,0.3,0.5
13/01/1942,4.8,-1.4,-2,0.2,987,7.5,0,0
14/01/1942,4.7,-3.1,-8,0.1,996.9,3.8,0.1,0.2
15/01/1942,4.5,0.2,-7.8,2.1,997.2,26.3,0.4,0.7
16/01/1942,4.4,3,2.2,9.6,996.9,18,0.4,0.6
17/01/1942,8.5,0.8,1.7,4.5,1006.8,7.1,0,0.1
18/01/1942,7.8,1.4,1.2,0,1007.5,8.4,0.1,0.2
19/01/1942,7.9,3.9,-4.3,23.1,1004.1,17,0.4,0.6
20/01/1942,7.4,-0.7,-1.7,0.1,1005.3,7.3,0.3,0.4
21/01/1942,6.5,5.1,2.2,1,1006.2,19.9,0.3,0.6
22/01/1942,7.7,3.4,2.8,7.6,1007.5,8.3,0.5,0.6
23/01/1942,11.9,7.2,3,5.8,998,19.6,0.5,0.8
24/01/1942,10.4,3.4,1.8,2.9,990.1,19.1,0.9,1.2
25/01/1942,5.9,1.8,0.6,1.1,989.5,24.3,0.9,1.3
26/01/1942,6.1,-0.1,-1.2,0,1000.8,10.9,0.4,0.5
27/01/1942,9.1,2.1,-0.8,3.9,996.8,20.4,0.4,0.6
28/01/1942,6,1.4,0.1,3.4,990.2,19.7,0.7,0.9
29/01/1942,5.6,-0.6,0.3,0.6,996.3,11.4,0.2,0.3
30/01/1942,6.6,1.1,-6.3,11,996.7,16.9,0.4,0.6
